model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
DDM,regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,14.315731342452057,86.89320388349569,-3.8751403201946455
DDM,regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,23.939953993818953,28.260869565217078,-0.606063284644941
DDM,regressed,BayesGPT_Family,$z$ -- $u_2$ | $c_{1}$,17.827765328237902,196.25000000000244,-1.8285445327453078
DDM,regressed,BayesGPT_ModelClass,$v$,4.610897915987917,-75.15151515151518,-4.020293714821105
DDM,regressed,BayesGPT_ModelClass,$a$,7.1026581590923135,386.79245283018935,-1.0491283201271873
DDM,regressed,BayesGPT_ModelClass,$z$,9.6871530517058,53.84615384615366,-1.4659352137711783
DDM,regressed,BayesGPT_ModelClass,$\tau$,12.146860547262085,-2.2388059701494756,-0.38823414218104285
DDM,regressed,BayesGPT_ModelClass,$s_v$,1.4097117520721383,-12.068965517241448,-2.7199737330210003
DDM,regressed,BayesGPT_ModelClass,$s_\tau$,8.227547798980536,198.24561403508667,-1.249682895698316
DDM,regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,9.035211990431131,35.99999999999979,-3.968431606453567
DDM,regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,11.5527521765519,145.56962025316523,-0.8450762744147547
DDM,regressed,BayesGPT_ModelClass,$z$ -- $u_1$ | $c_{1}$,10.388920592943213,350.7692307692336,-1.7302217592897609
DDM,regressed,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,8.425771944872809,72.72727272727289,-3.4173025695755532
DDM,regressed,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,8.024117695170343,-41.52542372881358,-0.48686975462155024
DDM,regressed,BayesGPT_ModelClass,$z$ -- $u_2$ | $c_{1}$,17.41515376136578,-16.033755274261924,-1.6425129663159597
DDM,fixed_regressed,BayesGPT_Family,$v$,8.056586486871646,255.0458715596326,-0.747370918749037
DDM,fixed_regressed,BayesGPT_Family,$a$,20.33187096691685,-18.803418803419053,-0.8849783331049893
DDM,fixed_regressed,BayesGPT_Family,$z$,10.836205220213294,-28.455284552845463,-0.8500760521817389
DDM,fixed_regressed,BayesGPT_Family,$\tau$,13.249703544465282,-41.22807017543866,-0.9718881818153209
DDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_1$ | $c_{1}$,10.113088825818595,107.84313725490223,-3.3917814752528295
DDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_1$ | $c_{1}$,24.879150811251442,36.19631901840476,-0.4034890892186816
DDM,fixed_regressed,BayesGPT_Family,$z$ -- $u_1$ | $c_{1}$,16.760717066293687,27.354260089686246,-1.4596626690812151
DDM,fixed_regressed,BayesGPT_Family,$v$ -- $u_2$ | $c_{1}$,10.209632441008612,0.36363636363657276,-2.9244995962050435
DDM,fixed_regressed,BayesGPT_Family,$a$ -- $u_2$ | $c_{1}$,24.725598110284682,174.15730337078793,-0.5802026521344174
DDM,fixed_regressed,BayesGPT_Family,$z$ -- $u_2$ | $c_{1}$,16.914250636162233,14.97326203208522,-1.74010020367415
DDM,fixed_regressed,BayesGPT_ModelClass,$v$,7.859617357154694,-74.41860465116294,-4.103298200354641
DDM,fixed_regressed,BayesGPT_ModelClass,$a$,4.948611555822835,246.3157894736854,-1.5240080071851243
DDM,fixed_regressed,BayesGPT_ModelClass,$z$,11.462502214319684,62.50000000000065,-2.3112563707151867
DDM,fixed_regressed,BayesGPT_ModelClass,$\tau$,8.171456593513714,131.34328358208967,-1.0548703488591205
DDM,fixed_regressed,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,4.249804767826475,139.6226415094345,-4.117839627432182
DDM,fixed_regressed,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,5.839205188340633,-20.72072072072054,-0.6160860268010028
