model,case,scenario,parameter,NRMSE,Calibration Error,Posterior Contraction
RDM,interaction,BayesGPT_ModelClass,$s_v$,-1.576405632181146,-5.147058823529721,-15.995433622430872
RDM,interaction,BayesGPT_ModelClass,$s_\tau$,3.2931810773510604,36.799999999999656,-2.7246722570711865
RDM,interaction,BayesGPT_ModelClass,$v$ -- $u_1$ | $c_{1}$,1.3816323145722202,73.17073170731666,-12.522733738072093
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_1$ | $c_{1}$,4.8280669444371505,303.6144578313293,-5.608157456673816
RDM,interaction,BayesGPT_ModelClass,$a$ -- $u_1$ | $c_{1}$,5.417916171601894,-49.60000000000017,-1.739987736763546
RDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_1$ | $c_{1}$,4.46974017556161,-57.96812749003994,-0.10924743972776375
RDM,interaction,BayesGPT_ModelClass,$s_v$ -- $u_1$ | $c_{1}$,1.0273745650916557,-43.71859296482436,-21.685618519005807
RDM,interaction,BayesGPT_ModelClass,$v$ -- $u_2$ | $c_{1}$,1.7611196125374398,147.7272727272735,-9.197830167671816
RDM,interaction,BayesGPT_ModelClass,$v_{\mathrm{diff}}$ -- $u_2$ | $c_{1}$,4.944425081987139,-38.92215568862293,-6.446050977417706
RDM,interaction,BayesGPT_ModelClass,$a$ -- $u_2$ | $c_{1}$,7.194889054697549,7.1823204419886375,-2.0763397445828145
RDM,interaction,BayesGPT_ModelClass,$\tau$ -- $u_2$ | $c_{1}$,8.65765721335513,-52.38095238095221,-0.21767107642753836
