id,rt,color,word,resp,session,congruent
9,0.743,0,2,0,0,0
9,0.457,0,0,0,0,1
9,0.739,2,1,2,0,0
9,0.473,2,2,2,0,1
9,0.726,0,1,0,0,0
9,0.781,1,1,1,0,1
9,0.903,2,2,2,0,1
9,0.512,2,1,2,0,0
9,0.676,1,1,1,0,1
9,0.657,2,1,2,0,0
9,0.933,1,0,1,0,0
9,0.622,1,2,1,0,0
9,0.518,1,1,1,0,1
9,0.526,1,0,1,0,0
9,0.6,2,0,2,0,0
9,0.422,0,0,0,0,1
9,0.63,1,1,1,0,1
9,0.591,2,2,2,0,1
9,0.586,2,2,2,0,1
9,0.41,2,1,2,0,0
9,0.512,0,0,0,0,1
9,0.465,0,0,0,0,1
9,0.464,0,2,0,0,0
9,0.743,1,1,1,0,1
9,0.405,2,0,2,0,0
9,0.604,0,1,0,0,0
9,0.751,1,1,1,0,1
9,0.765,1,0,1,0,0
9,0.487,2,2,2,0,1
9,0.69,1,2,1,0,0
9,0.56,1,2,1,0,0
9,0.572,0,0,0,0,1
9,0.695,2,2,2,0,1
9,0.654,1,1,1,0,1
9,0.534,1,2,1,0,0
9,0.463,1,2,1,0,0
9,0.459,1,1,1,0,1
9,0.513,1,2,1,0,0
9,0.543,0,0,2,0,1
9,0.485,0,0,0,0,1
9,0.637,2,0,2,0,0
9,0.821,0,0,0,0,1
9,0.453,0,1,0,0,0
9,0.785,2,2,2,0,1
9,0.427,2,2,2,0,1
9,0.775,1,0,1,0,0
9,0.491,0,0,0,0,1
10,0.626,1,0,1,0,0
10,0.514,1,0,1,0,0
10,0.539,0,0,0,0,1
10,0.593,0,1,0,0,0
10,0.399,0,0,0,0,1
10,0.567,0,1,0,0,0
10,0.596,2,0,2,0,0
10,0.548,2,1,2,0,0
10,0.439,0,0,0,0,1
10,0.974,2,0,2,0,0
10,0.557,1,1,1,0,1
10,0.725,2,0,2,0,0
10,0.528,0,0,0,0,1
10,0.754,2,0,2,0,0
10,0.584,2,2,2,0,1
10,0.463,0,0,0,0,1
10,0.387,2,2,2,0,1
10,0.442,2,2,2,0,1
10,0.407,0,0,0,0,1
10,0.408,2,2,2,0,1
10,0.703,2,1,2,0,0
10,0.599,1,2,1,0,0
10,0.454,0,0,0,0,1
