id,speed_condition,difficulty,resp_deviation,rt
2,0,3,0.36475,1.4255
2,0,1,-0.29222,1.1456
2,0,2,0.098927,0.8304
2,0,1,0.10751,0.69321
2,0,1,-0.16455,0.60878
2,0,3,-0.61284,1.095
2,0,1,0.085029,0.72655
2,0,3,-0.41268,1.2376
2,0,2,0.14226,0.77728
2,0,2,-0.22097,0.63942
2,0,1,0.02477,0.77225
2,0,3,-0.137,1.0139
2,0,3,0.14751,0.68522
2,0,3,-0.44428,1.3602
2,0,2,-0.26191,0.99585
2,0,1,0.0081081,0.61931
2,0,1,0.28234,0.52432
2,0,1,0.10932,0.59498
2,0,3,-0.69285,0.61681
2,0,2,0.068592,0.69018
2,0,1,0.049924,0.70206
2,0,1,0.034074,0.70603
2,0,3,0.8181,0.61545
2,0,3,1.0715,0.34049
2,0,3,-0.68491,1.2299
2,0,3,0.99833,1.4355
2,0,1,0.16389,0.69936
2,0,2,-0.041492,1.9455
2,0,2,0.034677,0.7339
2,0,2,-0.074566,0.8841
2,0,2,0.4086,0.60748
2,0,3,1.4492,0.62985
2,0,2,0.20367,1.0186
2,0,1,-0.17967,0.70953
2,0,3,-0.28802,1.3103
2,0,2,0.097017,1.0752
2,0,3,0.21075,1.5324
2,0,1,0.10466,0.73924
2,0,2,0.050063,0.73279
2,0,2,-0.19713,1.3183
2,0,1,0.082645,0.72414
2,0,2,0.051074,1.3613
2,0,2,0.057952,0.97393
2,0,2,-0.54022,0.70912
2,0,1,0.16298,0.63862
2,0,2,0.0055752,0.94892
2,0,1,0.10923,0.76378
2,0,3,-0.22228,0.79451
2,0,3,-0.060105,1.4854
2,0,2,0.042574,1.0834
2,0,3,0.25315,0.82795
2,0,3,-0.3942,0.73191
2,0,1,-0.025253,0.61727
2,0,1,-0.10781,0.73584
2,0,2,-0.085874,0.63708
2,0,2,-0.4236,0.59611
2,0,3,0.15926,0.92514
2,0,1,0.29558,0.55283
2,0,3,0.23366,0.55198
2,0,1,0.011154,0.64005
2,0,1,0.13144,0.6438
2,0,3,-0.47557,0.67545
2,1,3,0.23034,0.6452
2,1,1,-0.037245,0.58236
2,1,3,0.26693,0.88312
2,1,2,0.014836,0.73867
